==========================================
=== v7: Clamped gaze_alpha (max=0.1)  ===
==========================================
=== v7 TRAINING ===
python traineval.py --ek_version=egtea --epochs=30 --batch_size=32 --num_classes=106 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True --use_gaze --gaze_alpha_clamp=0.1
training dataset size: 1880
evaluation dataset size: 69
Epoch:0 (32/59) Data: 0.000762s | Batch: 0.269s | future_traj_r_loss: 0.118 | future_traj_l_loss: 0.164 | rec_r_loss: 0.139| rec_l_loss: 0.133| total_loss: 0.445 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.054 
Epoch:0 (33/59) Data: 0.000803s | Batch: 0.264s | future_traj_r_loss: 0.169 | future_traj_l_loss: 0.164 | rec_r_loss: 0.125| rec_l_loss: 0.122| total_loss: 0.503 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.055 
Epoch:0 (34/59) Data: 0.000755s | Batch: 0.260s | future_traj_r_loss: 0.104 | future_traj_l_loss: 0.193 | rec_r_loss: 0.133| rec_l_loss: 0.132| total_loss: 0.467 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.037 
Epoch:0 (35/59) Data: 0.000863s | Batch: 0.256s | future_traj_r_loss: 0.148 | future_traj_l_loss: 0.241 | rec_r_loss: 0.135| rec_l_loss: 0.124| total_loss: 0.461 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.041 
Epoch:0 (36/59) Data: 0.000761s | Batch: 0.253s | future_traj_r_loss: 0.075 | future_traj_l_loss: 0.178 | rec_r_loss: 0.122| rec_l_loss: 0.115| total_loss: 0.413 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.025 
Epoch:0 (37/59) Data: 0.000790s | Batch: 0.249s | future_traj_r_loss: 0.118 | future_traj_l_loss: 0.171 | rec_r_loss: 0.122| rec_l_loss: 0.123| total_loss: 0.423 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.047 
Epoch:0 (38/59) Data: 0.000794s | Batch: 0.246s | future_traj_r_loss: 0.145 | future_traj_l_loss: 0.125 | rec_r_loss: 0.124| rec_l_loss: 0.117| total_loss: 0.402 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.047 
Epoch:0 (39/59) Data: 0.000811s | Batch: 0.243s | future_traj_r_loss: 0.126 | future_traj_l_loss: 0.200 | rec_r_loss: 0.121| rec_l_loss: 0.120| total_loss: 0.459 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.051 
Epoch:0 (40/59) Data: 0.000818s | Batch: 0.240s | future_traj_r_loss: 0.100 | future_traj_l_loss: 0.123 | rec_r_loss: 0.122| rec_l_loss: 0.121| total_loss: 0.365 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.045 
Epoch:0 (41/59) Data: 0.000795s | Batch: 0.237s | future_traj_r_loss: 0.144 | future_traj_l_loss: 0.235 | rec_r_loss: 0.122| rec_l_loss: 0.128| total_loss: 0.535 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.029 
