python traineval.py --ek_version=egtea --epochs=30 --batch_size=32 --num_classes=106 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True --use_gaze
training dataset size: 1880
evaluation dataset size: 69
Epoch:1 (6/59) Data: 0.001117s | Batch: 0.614s | future_traj_r_loss: 0.150 | future_traj_l_loss: 0.175 | rec_r_loss: 0.095| rec_l_loss: 0.088| total_loss: 0.381 | future_valid_r: 32.0 | future_valid_l: 9.0 | obj_loss: 0.031 
Epoch:1 (7/59) Data: 0.001139s | Batch: 0.544s | future_traj_r_loss: 0.123 | future_traj_l_loss: 0.217 | rec_r_loss: 0.096| rec_l_loss: 0.094| total_loss: 0.462 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.020 
Epoch:1 (8/59) Data: 0.000940s | Batch: 0.491s | future_traj_r_loss: 0.131 | future_traj_l_loss: 0.164 | rec_r_loss: 0.096| rec_l_loss: 0.095| total_loss: 0.382 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.040 
Epoch:1 (9/59) Data: 0.001039s | Batch: 0.450s | future_traj_r_loss: 0.093 | future_traj_l_loss: 0.174 | rec_r_loss: 0.093| rec_l_loss: 0.093| total_loss: 0.377 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.020 
Epoch:1 (10/59) Data: 0.000966s | Batch: 0.417s | future_traj_r_loss: 0.116 | future_traj_l_loss: 0.167 | rec_r_loss: 0.095| rec_l_loss: 0.089| total_loss: 0.392 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.032 
Epoch:1 (11/59) Data: 0.000973s | Batch: 0.390s | future_traj_r_loss: 0.110 | future_traj_l_loss: 0.171 | rec_r_loss: 0.091| rec_l_loss: 0.089| total_loss: 0.386 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.037 
Epoch:1 (12/59) Data: 0.000958s | Batch: 0.367s | future_traj_r_loss: 0.080 | future_traj_l_loss: 0.173 | rec_r_loss: 0.089| rec_l_loss: 0.085| total_loss: 0.365 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.020 
Epoch:1 (13/59) Data: 0.000885s | Batch: 0.349s | future_traj_r_loss: 0.152 | future_traj_l_loss: 0.265 | rec_r_loss: 0.096| rec_l_loss: 0.089| total_loss: 0.440 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.061 
Epoch:1 (14/59) Data: 0.001042s | Batch: 0.332s | future_traj_r_loss: 0.146 | future_traj_l_loss: 0.157 | rec_r_loss: 0.089| rec_l_loss: 0.088| total_loss: 0.404 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.026 
Epoch:1 (15/59) Data: 0.000921s | Batch: 0.317s | future_traj_r_loss: 0.117 | future_traj_l_loss: 0.158 | rec_r_loss: 0.091| rec_l_loss: 0.092| total_loss: 0.405 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.028 
Epoch:1 (16/59) Data: 0.000939s | Batch: 0.305s | future_traj_r_loss: 0.147 | future_traj_l_loss: 0.128 | rec_r_loss: 0.090| rec_l_loss: 0.090| total_loss: 0.414 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.032 
Epoch:1 (17/59) Data: 0.001162s | Batch: 0.294s | future_traj_r_loss: 0.218 | future_traj_l_loss: 0.440 | rec_r_loss: 0.088| rec_l_loss: 0.094| total_loss: 0.504 | future_valid_r: 32.0 | future_valid_l: 6.0 | obj_loss: 0.037 
Epoch:1 (18/59) Data: 0.001076s | Batch: 0.285s | future_traj_r_loss: 0.093 | future_traj_l_loss: 0.192 | rec_r_loss: 0.088| rec_l_loss: 0.088| total_loss: 0.347 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.026 
Epoch:1 (19/59) Data: 0.001179s | Batch: 0.277s | future_traj_r_loss: 0.129 | future_traj_l_loss: 0.138 | rec_r_loss: 0.091| rec_l_loss: 0.086| total_loss: 0.358 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.030 
Epoch:1 (20/59) Data: 0.001032s | Batch: 0.269s | future_traj_r_loss: 0.092 | future_traj_l_loss: 0.201 | rec_r_loss: 0.086| rec_l_loss: 0.090| total_loss: 0.379 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.022 
