True
Starting training...
python traineval.py --ek_version=ek100 --epochs=30 --batch_size=32
training dataset size: 24148
evaluation dataset size: 401
Epoch:0 (43/755) Data: 0.000687s | Batch: 0.153s | future_traj_r_loss: 0.277 | future_traj_l_loss: 0.324 | rec_r_loss: 0.197| rec_l_loss: 0.200| total_loss: 0.962 | future_valid_r: 32.0 | future_valid_l: 22.0 | obj_loss: 0.054 
Epoch:0 (44/755) Data: 0.000772s | Batch: 0.152s | future_traj_r_loss: 0.241 | future_traj_l_loss: 0.309 | rec_r_loss: 0.186| rec_l_loss: 0.191| total_loss: 0.879 | future_valid_r: 32.0 | future_valid_l: 21.0 | obj_loss: 0.047 
Epoch:0 (45/755) Data: 0.000935s | Batch: 0.150s | future_traj_r_loss: 0.308 | future_traj_l_loss: 0.187 | rec_r_loss: 0.180| rec_l_loss: 0.190| total_loss: 0.793 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.047 
Epoch:0 (46/755) Data: 0.001129s | Batch: 0.149s | future_traj_r_loss: 0.206 | future_traj_l_loss: 0.238 | rec_r_loss: 0.183| rec_l_loss: 0.185| total_loss: 0.725 | future_valid_r: 32.0 | future_valid_l: 18.0 | obj_loss: 0.078 
Epoch:0 (47/755) Data: 0.000704s | Batch: 0.148s | future_traj_r_loss: 0.152 | future_traj_l_loss: 0.203 | rec_r_loss: 0.179| rec_l_loss: 0.171| total_loss: 0.691 | future_valid_r: 32.0 | future_valid_l: 23.0 | obj_loss: 0.034 
Epoch:0 (48/755) Data: 0.000701s | Batch: 0.146s | future_traj_r_loss: 0.222 | future_traj_l_loss: 0.280 | rec_r_loss: 0.178| rec_l_loss: 0.180| total_loss: 0.806 | future_valid_r: 32.0 | future_valid_l: 21.0 | obj_loss: 0.043 
Epoch:0 (49/755) Data: 0.000733s | Batch: 0.145s | future_traj_r_loss: 0.205 | future_traj_l_loss: 0.327 | rec_r_loss: 0.180| rec_l_loss: 0.185| total_loss: 0.852 | future_valid_r: 32.0 | future_valid_l: 21.0 | obj_loss: 0.054 
Epoch:0 (50/755) Data: 0.000699s | Batch: 0.144s | future_traj_r_loss: 0.193 | future_traj_l_loss: 0.208 | rec_r_loss: 0.178| rec_l_loss: 0.170| total_loss: 0.689 | future_valid_r: 32.0 | future_valid_l: 21.0 | obj_loss: 0.037 
Epoch:0 (51/755) Data: 0.000644s | Batch: 0.143s | future_traj_r_loss: 0.195 | future_traj_l_loss: 0.243 | rec_r_loss: 0.154| rec_l_loss: 0.157| total_loss: 0.700 | future_valid_r: 32.0 | future_valid_l: 21.0 | obj_loss: 0.077 
Epoch:0 (52/755) Data: 0.000715s | Batch: 0.141s | future_traj_r_loss: 0.218 | future_traj_l_loss: 0.278 | rec_r_loss: 0.180| rec_l_loss: 0.174| total_loss: 0.812 | future_valid_r: 32.0 | future_valid_l: 22.0 | obj_loss: 0.040 
Epoch:0 (53/755) Data: 0.000665s | Batch: 0.140s | future_traj_r_loss: 0.239 | future_traj_l_loss: 0.269 | rec_r_loss: 0.177| rec_l_loss: 0.180| total_loss: 0.816 | future_valid_r: 32.0 | future_valid_l: 21.0 | obj_loss: 0.031 
