==========================================
=== MECCANO BASELINE (30ep) ===
==========================================
=== TRAINING ===
python traineval.py --ek_version=meccano --epochs=30 --batch_size=32 --num_classes=61 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True
training dataset size: 4679
evaluation dataset size: 2584
Epoch:0 (60/147) Data: 0.002625s | Batch: 7.361s | future_traj_r_loss: 0.180 | future_traj_l_loss: 0.195 | rec_r_loss: 0.080| rec_l_loss: 0.080| total_loss: 0.623 | future_valid_r: 32.0 | future_valid_l: 32.0 | obj_loss: 0.043 
Epoch:0 (61/147) Data: 0.002655s | Batch: 7.243s | future_traj_r_loss: 0.204 | future_traj_l_loss: 0.244 | rec_r_loss: 0.082| rec_l_loss: 0.081| total_loss: 0.696 | future_valid_r: 30.0 | future_valid_l: 32.0 | obj_loss: 0.070 
Epoch:0 (62/147) Data: 0.001531s | Batch: 7.128s | future_traj_r_loss: 0.232 | future_traj_l_loss: 0.241 | rec_r_loss: 0.080| rec_l_loss: 0.080| total_loss: 0.679 | future_valid_r: 30.0 | future_valid_l: 28.0 | obj_loss: 0.110 
Epoch:0 (63/147) Data: 0.001338s | Batch: 7.017s | future_traj_r_loss: 0.172 | future_traj_l_loss: 0.273 | rec_r_loss: 0.080| rec_l_loss: 0.081| total_loss: 0.704 | future_valid_r: 31.0 | future_valid_l: 32.0 | obj_loss: 0.051 
Epoch:0 (64/147) Data: 0.001419s | Batch: 6.909s | future_traj_r_loss: 0.198 | future_traj_l_loss: 0.337 | rec_r_loss: 0.080| rec_l_loss: 0.080| total_loss: 0.794 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.059 
Epoch:0 (65/147) Data: 102.808264s | Batch: 8.387s | future_traj_r_loss: 0.254 | future_traj_l_loss: 0.249 | rec_r_loss: 0.074| rec_l_loss: 0.075| total_loss: 0.731 | future_valid_r: 31.0 | future_valid_l: 29.0 | obj_loss: 0.075 
Epoch:0 (66/147) Data: 0.001454s | Batch: 8.262s | future_traj_r_loss: 0.214 | future_traj_l_loss: 0.308 | rec_r_loss: 0.079| rec_l_loss: 0.080| total_loss: 0.742 | future_valid_r: 30.0 | future_valid_l: 29.0 | obj_loss: 0.091 
Epoch:0 (67/147) Data: 0.001277s | Batch: 8.141s | future_traj_r_loss: 0.242 | future_traj_l_loss: 0.347 | rec_r_loss: 0.079| rec_l_loss: 0.080| total_loss: 0.863 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.107 
Epoch:0 (68/147) Data: 3.074830s | Batch: 8.068s | future_traj_r_loss: 0.229 | future_traj_l_loss: 0.293 | rec_r_loss: 0.082| rec_l_loss: 0.081| total_loss: 0.732 | future_valid_r: 27.0 | future_valid_l: 31.0 | obj_loss: 0.051 
Epoch:0 (69/147) Data: 1.779885s | Batch: 7.979s | future_traj_r_loss: 0.281 | future_traj_l_loss: 0.239 | rec_r_loss: 0.080| rec_l_loss: 0.080| total_loss: 0.783 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.062 
Epoch:0 (70/147) Data: 0.001399s | Batch: 7.867s | future_traj_r_loss: 0.233 | future_traj_l_loss: 0.239 | rec_r_loss: 0.074| rec_l_loss: 0.075| total_loss: 0.707 | future_valid_r: 29.0 | future_valid_l: 32.0 | obj_loss: 0.062 
=== EVAL TRAJ ===
python traineval.py --evaluate --ek_version=meccano --num_classes=61 --seq_len_obs=10 --seq_len_unobs=3 --resume=./diffip_weights/checkpoint_30.pth.tar --traj_only
evaluation dataset size: 904
=== EVAL AFF ===
python traineval.py --evaluate --ek_version=meccano --num_classes=61 --seq_len_obs=10 --seq_len_unobs=3 --resume=./diffip_weights/checkpoint_30.pth.tar
evaluation dataset size: 2584
=== DONE ===
